ML	15/01/1970	15/06/1970	15/08/1970	15/09/1970	15/10/1970	15/12/1970
15	0	1	0	0	0	0
16	0	1	0	0	0	0
17	0	1	0	0	0	0
18	0	2	1	0	0	0
19	0	4	1	0	0	0
20	0	4	1	0	0	0
21	0	5	1	0	0	0
22	0	11	2	1	0	0
23	0	20	4	3	0	0
24	0	13	21	5	1	1
25	1	10	40	13	6	1
26	2	6	45	19	31	1
27	3	4	43	20	17	7
28	3	2	25	24	20	10
29	4	1	16	8	16	15
30	5	0	12	6	8	10
31	7	0	8	4	7	5
32	5	0	2	2	2	1
33	3	0	2	1	1	0
34	3	0	2	1	1	0
35	1	0	0	0	1	0
