cm
ML,25/02/1950,05/07/1950,08/10/1950,10/11/1950,30/12/1950
3.3,0,0,1,0,0
3.6,0,0,2,0,0
3.9,0,0,5,0,0
4.2,0,0,15,1,0
4.5,0,0,30,2,0
4.8,0,0,45,11,2
5.1,0,0,89,20,4
5.4,4,0,167,32,15
5.7,12,1,104,59,39
6,34,19,29,88,59
6.3,83,57,12,105,86
6.6,100,125,2,67,85
6.9,110,153,0,25,70
7.2,58,200,0,13,27
7.5,31,141,0,7,15
7.8,5,75,0,3,11
8.1,1,39,0,0,7
8.4,0,14,0,0,1
8.7,0,6,0,0,0
9,0,2,0,0,0
9.3,0,1,0,0,0
